HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Homework,Quiz,Lab,Overall,Grade
92.5,100,92.5,95,100,97,97,100,85,12,58.333333333333336,50,52.5,60,68,63,85,70,96.75,56.94444444444445,100,82.06666666666666,B
82.5,100,100,100,100,98,71,100,91,12,91.66666666666667,83.33333333333333,80,95,69.6,80.1,86.99999999999999,88.99999999999999,96.4375,90,100,92.08125,A
80,0,95,0,55,0,0,0,75,7,83.33333333333333,0,0,65,53.6,60.75,67,67.5,38.125,49.444444444444436,20,51.12916666666666,D
42.5,52.5,90,72.5,100,95,88,80,85,12,83.33333333333333,88.88888888888889,42.5,80,65.6,63,81.99999999999999,70,82.875,84.07407407407408,100,81.3736111111111,B-
80,92.5,100,90,100,94,85,90,85,11,91.66666666666667,88.88888888888889,75,100,66.4,57.15,83.00000000000001,63.5,92.0625,93.51851851851852,100,84.12152777777779,B
70,100,92.5,82.5,100,99,97,90,85,12,75,83.33333333333333,80,90,69.6,80.1,86.99999999999999,88.99999999999999,93.25,84.44444444444444,100,90.29166666666666,A
90,100,100,100,95,99,100,100,100,12,91.66666666666667,100,80,90,70.4,74.7,88.00000000000001,83,99.25,93.8888888888889,100,92.20833333333334,A
70,92.5,90,85,95,99,88,90,90,12,91.66666666666667,88.88888888888889,75,90,69.6,65.7,86.99999999999999,73,91.1875,90.18518518518518,100,86.53402777777778,B+
100,100,85,90,85,89,92,95,95,12,100,94.44444444444444,80,100,79.2,81.9,99,91.00000000000001,93.25,98.14814814814815,100,95.24722222222222,A+
100,100,92.5,80,100,98,100,80,100,10,100,0,90,0,70.4,82.8,88.00000000000001,92,96.3125,63.333333333333336,80,86.99375,B+
40,0,82.5,0,70,0,52,0,98,12,58.333333333333336,61.111111111111114,0,75,46.4,36,58,40,42.8125,64.81481481481482,100,54.16597222222222,D
92.5,100,92.5,90,100,96,85,90,85,12,83.33333333333333,88.88888888888889,80,75,60,70.65,75,78.50000000000001,93.25,84.07407407407408,100,85.21111111111111,B
92.5,85,100,85,95,100,92,90,75,12,91.66666666666667,61.111111111111114,80,100,71.2,74.7,89,83,92.4375,90.55555555555556,100,89.86458333333334,A-
87,100,100,100,100,93,91,80,98,10,83.33333333333333,88.88888888888889,50,85,48,54,60,60,96.125,85.74074074074075,80,76.69861111111112,C
75,97.5,67.5,80,95,90,58,100,85,12,100,77.77777777777777,67.5,85,57.6,56.7,72,63,86.25,87.5925925925926,100,79.16388888888889,C+
100,100,92.5,90,95,95,100,100,80,12,83.33333333333333,100,80,100,72,80.1,90,88.99999999999999,96.5625,94.44444444444444,100,93.38541666666666,A
85,85,85,85,85,72,85,65,80,6,75,38.888888888888886,60,70,48.8,54.9,61,61,82.75,68.33333333333333,0,62.525,C-
92.5,70,90,75,100,100,84,100,75,12,100,88.88888888888889,85,95,69.6,66.6,86.99999999999999,73.99999999999999,89.5625,94.62962962962963,100,86.96319444444444,B+
85,99,92.5,0,0,0,0,0,0,3,41.666666666666664,0,0,0,75.2,66.6,94,73.99999999999999,34.5625,13.888888888888888,0,49.75208333333333,F
80,100,100,0,90,0,100,70,0,10,83.33333333333333,0,30,70,64,55.35,80,61.5,67.5,61.11111111111111,80,68.79166666666666,C-
65,100,55,90,100,86.5,100,85,85,9,83.33333333333333,88.88888888888889,52.5,90,68,60.3,85,67,88.9375,87.4074074074074,60,79.5423611111111,B-
60,100,92.5,100,95,71,90,92.5,85,10,91.66666666666667,88.88888888888889,52.5,100,72,74.25,90,82.5,90.75,93.51851851851852,80,87.87777777777777,B+
75,100,100,100,100,95,100,100,100,12,100,88.88888888888889,82.5,100,66.4,76.05,83.00000000000001,84.5,99.375,96.2962962962963,100,91.98194444444445,A
67.5,80,77.5,47.5,100,80,76,77.5,80,12,83.33333333333333,77.77777777777777,75,80,44,64.35,55,71.49999999999999,79.8125,80.37037037037037,100,74.87430555555555,C
73.5,70,92.5,80,100,97,90,100,96,12,66.66666666666667,61.111111111111114,75,85,65.6,73.8,81.99999999999999,82,91.125,75.55555555555556,100,85.57083333333333,B
75,90,95,70,85,85,0,62.5,100,12,83.33333333333333,88.88888888888889,40,80,59.2,68.4,74,76.00000000000001,82.8125,84.07407407407408,100,81.25486111111111,B-
70,97.5,100,70,100,100,97,95,85,12,91.66666666666667,50,80,70,61.2,64.8,76.5,72,93.0625,80.55555555555556,100,83.30208333333334,B
82.5,100,100,100,97,100,100,90,75,12,91.66666666666667,72.22222222222223,65,80,62.4,57.15,78,63.5,96.1875,81.2962962962963,100,82.52569444444444,B
91.5,97.5,98,90,92,95,62,95,90,12,66.66666666666667,44.44444444444444,90,90,64,65.25,80,72.5,93.625,82.22222222222223,100,84.54583333333333,B
100,72.5,100,100,100,99,97,100,100,12,66.66666666666667,100,85,50,66.4,67.5,83.00000000000001,75,99.5,83.8888888888889,100,87.78333333333333,B+
95,100,100,100,100,89,98,85,100,12,91.66666666666667,66.66666666666667,60,80,52.8,63.9,66,71,97.75,79.44444444444444,100,82.19166666666666,B
62.5,0,0,0,65,76,71,90,97.5,9,0,44.44444444444444,55,100,68,34.2,85,38.00000000000001,57.75,66.48148148148148,60,59.79722222222222,D
52.5,55,85,67.5,90,78,92,80,80,12,50,72.22222222222223,0,85,52,54.45,65,60.5,78.4375,69.07407407407408,100,72.01736111111111,C
92.5,97.5,0,85,90,76,81,90,80,12,91.66666666666667,50,60,75,69.6,78.3,86.99999999999999,87,86.5,75.55555555555556,100,86.43333333333334,B+
100,100,92.5,90,100,99,90,95,100,12,100,100,85,90,70.4,80.1,88.00000000000001,88.99999999999999,97.0625,96.66666666666667,100,93.46875,A
82,100,87.5,90,100,96,100,80,95,11,75,72.22222222222223,55,75,55.2,57.6,69,64,93.8125,74.07407407407408,100,79.05486111111111,C+
72.5,95,100,80,100,76,100,90,70,12,91.66666666666667,100,100,100,68.8,81,86,90,89.1875,100,100,91.45625,A
82.5,85,95,90,100,95,87,85,85,12,91.66666666666667,88.88888888888889,70,100,59.2,71.1,74,78.99999999999999,90.25,93.51851851851852,100,85.65277777777779,B
89.5,100,100,70,100,0,97,100,98,10,75,72.22222222222223,70,75,56,56.7,70,63,94.3125,74.07407407407408,80,77.15486111111112,C
95,75,100,100,100,99,85,85,100,12,50,55.55555555555556,50,95,60.8,51.3,76,57,95.5,66.85185185185185,100,78.12777777777778,C+
92.5,100,100,100,100,100,100,100,100,12,66.66666666666667,61.111111111111114,80,90,66.4,66.6,83.00000000000001,73.99999999999999,100,78.8888888888889,100,86.93333333333334,B+
92.5,0,92.5,95,100,95,0,0,80,9,83.33333333333333,0,35,60,55.2,41.4,69,46,69.375,59.444444444444436,60,61.02916666666667,C-
67,0,47.5,90,100,59,59,80,98,12,91.66666666666667,88.88888888888889,85,90,63.2,70.65,79,78.50000000000001,75.0625,90.18518518518518,100,81.47152777777778,B-
90,90,90,90,0,0,0,0,0,6,50,0,35,0,66.24,12.6,82.79999999999998,14,45,28.333333333333332,0,37.81,F
90,80,80,60,71.25,95,95,100,90,12,66.66666666666667,77.77777777777777,65,75,63.2,61.65,79,68.5,87.65625,73.14814814814815,100,80.19409722222223,B-
0,0,82.5,75,90,0,87,0,80,10,75,0,50,90,30.4,27,38,30,51.8125,71.66666666666667,80,49.393750000000004,F
77.5,100,92.5,65,90,78,97,95,80,12,70.83333333333333,55.55555555555556,85,90,40.8,65.7,50.99999999999999,73,88.75,81.94444444444444,100,77.36666666666666,C
90,77.5,100,90,100,83,100,100,100,12,50,50,80,35,54.4,58.05,68,64.5,95.375,60,100,77.3375,C
85,100,100,95,100,96,88,90,85,12,91.66666666666667,100,70,85,68,73.35,85,81.49999999999999,94.25,92.22222222222223,100,89.48333333333333,A-
100,100,100,90,94,98,97,85,91,12,83.33333333333333,77.77777777777777,55,80,70.4,65.7,88.00000000000001,73,96.25,80.37037037037037,100,86.78055555555557,B+
75,85,92.5,55,51,68,76,80,80,12,66.66666666666667,50,50,85,68.8,63,86,70,76.4375,67.22222222222223,100,77.71458333333334,C+
88.5,0,0,100,85,99,90,85,79,12,91.66666666666667,88.88888888888889,65,95,68.8,69.3,86,77,78.3125,91.85185185185185,100,83.72152777777778,B
77.5,100,92.5,90,95,97,100,90,0,11,100,66.66666666666667,85,95,61.6,81.9,77,91.00000000000001,92.75,93.33333333333333,100,89.97500000000001,A-
72.5,100,100,95,100,83,88,60,85,12,91.66666666666667,72.22222222222223,75,90,71.2,74.7,89,83,90.4375,85.55555555555556,100,88.51458333333333,A-
55,92.5,92.5,97.5,75,77,100,85,85,12,41.666666666666664,77.77777777777777,52.5,95,60.8,70.65,76,78.50000000000001,88.0625,75.0925925925926,100,82.50763888888889,B
90,90,90,90,90,93,67,0,0,11,75,100,0,0,69.6,61.2,86.99999999999999,68,76.25,58.333333333333336,100,76.025,C
67.5,67.5,95,77.5,100,87.5,70,90,85,7,33.333333333333336,0,25,45,68.8,62.1,86,69,84.0625,34.44444444444445,20,66.83541666666666,C-
73.5,80,100,100,90,89,94,90,0,12,66.66666666666667,77.77777777777777,75,85,63.2,60.75,79,67.5,89.5625,79.25925925925925,100,81.43263888888889,B-
92.5,100,100,30,100,100,100,85,75,12,91.66666666666667,27.77777777777778,0,100,63.6,44.1,79.5,49,94.0625,73.14814814814815,100,77.34097222222222,C
65,50,72.5,90,80,0,0,62.5,0,8,83.33333333333333,72.22222222222223,50,0,65.6,63.45,81.99999999999999,70.5,52.5,68.51851851851852,40,64.05277777777778,C-
92.5,100,100,90,100,99,99,87.5,100,12,58.333333333333336,88.88888888888889,80,55,48.8,53.1,61,59,97.5625,75.74074074074075,100,77.57986111111111,C+
88.5,92.5,95,60,85,0,0,100,0,11,58.333333333333336,0,40,35,56.8,49.95,71,55.5,65.125,44.44444444444445,100,64.27916666666667,C-
72.5,100,77.5,45,89,90,90,75,65,12,54.166666666666664,55.55555555555556,75,65,57.6,54,72,60,82.375,65.18518518518518,100,73.89027777777778,C
87.5,100,82.5,90,100,90,100,80,85,12,58.333333333333336,72.22222222222223,30,55,61.6,24.3,77,27,91.875,61.851851851851855,100,68.99027777777778,C-
77.5,77.5,95,100,99,92,80,87.5,85,11,33.333333333333336,44.44444444444444,65,60,61.6,44.1,77,49,89.5,56.48148148148149,100,72.97222222222221,C
73.5,72.5,60,0,80,0,0,60,0,11,66.66666666666667,55.55555555555556,40,0,68,49.5,85,55,43.25,54.074074074074076,100,61.83611111111111,C-
100,85,92.5,100,90,99,0,100,100,12,66.66666666666667,100,100,85,61.2,80.1,76.5,88.99999999999999,95.8125,95,100,90.54375,A
94,100,100,100,100,98,100,100,100,12,100,83.33333333333333,70,85,71.2,77.85,89,86.49999999999999,99.75,89.44444444444444,100,92.76666666666667,A
97.5,100,97.5,100,100,86,100,90,100,12,91.66666666666667,100,65,90,62.4,80.1,78,88.99999999999999,98.125,93.8888888888889,100,91.37083333333334,A
94.5,97,96,100,80,100,97,100,100,12,75,83.33333333333333,50,100,64,68.85,80,76.49999999999999,98.0625,86.1111111111111,100,87.46041666666667,B+
92.5,100,100,98,100,98,86,100,98,12,100,83.33333333333333,50,80,66.4,72,83.00000000000001,80,98.3125,87.77777777777777,100,89.26041666666667,A-
100,100,100,65,95,94,100,95,100,12,100,55.55555555555556,80,90,70.4,80.1,88.00000000000001,88.99999999999999,98,90,100,92.75,A
100,85,100,100,100,99,97,80,95,12,100,100,95,100,80,84.6,100,94,97,100,100,97.6,A+
92.5,100,97.5,80,95,100,90,100,70,12,100,100,85,100,79.2,88.2,99,98,94.375,100,100,97.6125,A+
95,85,100,70,0,99,95,95,100,12,91.66666666666667,72.22222222222223,50,90,77.6,86.4,96.99999999999999,96,92.375,84.62962962962963,100,93.80694444444444,A
92.5,100,95,100,100,90,100,85,97.5,12,25,33.333333333333336,20,65,31.2,20.7,39,23,96.875,41.111111111111114,100,58.77916666666667,D
92.5,100,97.5,100,100,99,92,100,85,12,91.66666666666667,88.88888888888889,95,95,63.2,68.85,79,76.49999999999999,97.625,93.8888888888889,100,88.29583333333333,A-
87.5,87.5,100,60,95,72,70,80,0,12,83.33333333333333,61.111111111111114,60,0,62.4,62.1,78,69,81.5,68.14814814814815,100,77.52222222222223,C+
80,0,77.5,20,0,37,67,50,85,10,33.333333333333336,16.666666666666668,30,40,50.4,58.5,63,65,52.0625,34.44444444444445,80,57.63541666666667,D
82.5,95,90,77.5,100,95,84,85,100,12,83.33333333333333,88.88888888888889,80,75,46.4,61.2,58,68,91.4375,84.07407407407408,100,78.64236111111111,C+
82.5,97.5,75,50,42.5,86,61,85,100,12,58.333333333333336,61.111111111111114,35,80,55.2,49.95,69,55.5,79.625,66.48148148148148,100,71.53472222222223,C
96,99,91.5,70,93,86,65,75,90,12,66.66666666666667,38.888888888888886,30,70,41.6,35.1,52,39,87.5625,58.51851851851851,100,65.19652777777777,C-
75,85,100,100,100,99,90,90,80,11,91.66666666666667,83.33333333333333,95,95,70.4,82.8,88.00000000000001,92,93,93.8888888888889,100,92.58333333333334,A
92.5,100,100,90,100,99,100,95,100,12,91.66666666666667,77.77777777777777,75,65,66.4,70.2,83.00000000000001,78,98.3125,81.48148148148148,100,87.81597222222223,B+
94.5,84,95,95,100,98,86,100,0,12,66.66666666666667,72.22222222222223,80,70,40.8,58.95,50.99999999999999,65.5,94.0625,74.07407407407408,100,75.90486111111112,C
72.5,77.5,0,75,85,0,0,0,65,10,0,27.77777777777778,35,35,19.2,18.45,24,20.5,46.875,32.59259259259259,80,36.87638888888889,F
100,79,85,95,85,91,79,75,92,12,91.66666666666667,44.44444444444444,90,90,64,63.9,80,71,88.25,90.55555555555556,100,83.80833333333334,B
92.5,100,100,90,98,99,97,100,95,12,66.66666666666667,66.66666666666667,55,75,25.6,54.9,32,61,97.6875,69.44444444444444,100,71.37291666666667,C
100,100,90,100,100,94,100,100,0,11,100,77.77777777777777,75,0,72,72.9,90,81.00000000000001,98,84.25925925925925,100,90.28888888888889,A
93,73,100,88,100,96,80,95,95,10,100,50,65,60,76,65.25,95,72.5,93.375,75,80,84.3875,B
100,85,97.5,100,95,0,89,90,90,11,79.16666666666667,94.44444444444444,50,85,49.6,66.6,62,73.99999999999999,93.3125,86.2037037037037,100,81.82430555555554,B-
92.5,100,100,70,100,100,100,100,85,12,75,88.88888888888889,95,0,67.2,72.45,84,80.5,97.1875,86.2962962962963,100,89.02569444444444,A-
92.5,92.5,90,90,100,90,100,90,85,12,83.33333333333333,72.22222222222223,85,100,63.2,86.4,79,96,93.125,89.44444444444444,100,91.15416666666667,A
68,55.5,85,0,65,50,52,0,20,10,50,50,30,35,43.2,28.8,54,32,49.4375,45,80,48.381249999999994,F
92.5,92.5,100,90,100,100,100,0,80,12,95.83333333333333,100,0,100,70.4,78.3,88.00000000000001,87,94.375,98.6111111111111,100,92.45416666666667,A
57.5,100,100,0,80,93,76,75,95,12,75,72.22222222222223,70,90,79.2,66.6,99,73.99999999999999,84.5625,79.07407407407408,100,85.5298611111111,B
89.5,57,95,90,0,98,0,75,100,9,75,77.77777777777777,45,55,37.6,71.1,47,78.99999999999999,75.5625,69.25925925925925,60,68.20763888888888,C-
89.5,79,97.5,100,90,99,100,100,99,12,100,88.88888888888889,75,90,68.8,85.95,86,95.5,96.875,92.96296296296298,100,94.08194444444445,A
75,100,92.5,100,100,99,100,90,100,12,83.33333333333333,88.88888888888889,95,100,77.6,77.4,96.99999999999999,86.00000000000001,97.6875,94.62962962962963,100,94.40069444444444,A
87.5,92.5,90,80,90,80,89,90,55,12,75,77.77777777777777,80,100,52,71.1,65,78.99999999999999,87.375,85.92592592592592,100,81.85138888888888,B-
57.5,70,82.5,0,55,0,51,45,0,11,83.33333333333333,38.888888888888886,57.5,0,40,55.8,50,62,45.125,59.90740740740741,100,58.02361111111111,D
52.5,77.5,97.5,50,95,80,79,90,50,12,66.66666666666667,38.888888888888886,65,90,46.4,52.65,58,58.5,77.6875,73.8888888888889,100,70.61458333333334,C
82.5,0,92.5,80,93,98,85,100,85,12,83.33333333333333,77.77777777777777,55,90,68.8,75.15,86,83.50000000000001,89.5,83.7037037037037,100,87.48055555555555,B+
62.5,70,87.5,60,100,80,84,95,80,12,41.666666666666664,88.88888888888889,65,75,42.4,63.9,53,71,82.375,76.29629629629629,100,74.50694444444444,C
65,55,87.5,90,90,72,77,0,80,12,83.33333333333333,72.22222222222223,57.5,80,68,75.6,85,83.99999999999999,77.0625,78.51851851851852,100,82.89652777777778,B
85,90,90,20,95,85,97,75,80,12,58.333333333333336,27.77777777777778,50,30,59.52,57.6,74.4,64,87.125,46.111111111111114,100,73.93416666666667,C
100,100,100,100,100,75,100,95,65,12,95.83333333333333,72.22222222222223,45,85,50.4,68.4,63,76.00000000000001,96.25,84.35185185185185,100,83.12777777777778,B
87.5,100,92.5,100,100,100,90,100,100,12,83.33333333333333,88.88888888888889,75,85,69.6,81,86.99999999999999,90,97.8125,85.74074074074075,100,92.10486111111112,A
92.5,70,85,80,100,97,79,100,85,12,83.33333333333333,100,95,100,76.8,68.4,96,76.00000000000001,89.8125,98.33333333333333,100,89.89375,A-
62.5,80,75,100,95,95,100,85,100,12,75,100,80,75,56.8,53.55,71,59.5,91.25,85,100,79.2,C+
87,100,100,100,99,99,100,100,96,11,50,66.66666666666667,70,90,64,78.75,80,87.5,99.25,75.55555555555556,100,88.98333333333333,A-
60,75,100,0,100,94,100,90,100,10,50,33.333333333333336,25,40,69.6,44.55,86.99999999999999,49.5,89.875,41.111111111111114,80,70.90416666666667,C
79,96.5,92.5,100,100,98,87,100,82,12,100,77.77777777777777,75,100,66.4,70.65,83.00000000000001,78.50000000000001,94.5,92.5925925925926,100,88.46388888888889,A-
87.5,97.5,95,90,90,88,100,60,100,12,66.66666666666667,83.33333333333333,67.5,0,68.8,70.2,86,78,93.5,72.5,100,85.625,B
60,82.5,92.5,80,0,73,85.5,100,85,11,75,50,57.5,65,76.8,74.7,96,83,82.3125,65.83333333333333,100,84.51875,B
90,100,100,100,95,99,100,95,100,12,100,100,80,90,64.8,72.9,81,81.00000000000001,98.625,96.66666666666667,100,90.5375,A
92.5,100,100,100,100,99,100,100,95,12,83.33333333333333,66.66666666666667,70,95,71.2,76.5,89,85,99.25,82.77777777777777,100,91.24166666666666,A
87.5,100,65,70,0,76,80,100,98,9,50,33.333333333333336,55,95,53.6,70.2,67,78,84.5625,66.66666666666667,60,74.26875,C
0,85,100,100,100,99,100,97.5,100,12,66.66666666666667,77.77777777777777,70,75,60,81,75,90,97.6875,74.25925925925925,100,87.94513888888889,B+
70,70,55,65,72.5,58,47,60,80,12,91.66666666666667,55.55555555555556,75,100,65.6,58.05,81.99999999999999,64.5,66.3125,88.8888888888889,100,75.75208333333333,C
82.5,77.5,100,90,95,93,84,100,85,12,100,77.77777777777777,85,45,59.2,70.2,74,78,91.1875,87.5925925925926,100,84.79513888888889,B
100,85,100,100,100,87,97,90,100,12,66.66666666666667,100,85,90,64,66.15,80,73.50000000000001,96.75,91.66666666666667,100,87.15,B+
82.5,100,92.5,80,100,99,100,80,100,12,100,100,90,100,71.2,89.1,89,99,94.25,100,100,95.825,A+
0,80,100,95,78,90,77,75,97,11,83.33333333333333,66.66666666666667,55,85,58.4,59.85,73,66.5,86.5,78.33333333333333,100,78.92500000000001,C+
77.5,0,92.5,90,85,66,48,70,85,12,50,50,25,30,28,40.05,35,44.49999999999999,76.75,43.333333333333336,100,57.65,D
92.5,72.5,72.5,30,0,83,100,0,85,12,58.333333333333336,44.44444444444444,35,15,20.8,18.45,26,20.5,66.9375,45.925925925925924,100,47.29513888888889,F
92.5,100,100,100,100,99,97,100,85,12,91.66666666666667,100,95,100,71.2,79.65,89,88.50000000000001,98.5625,98.33333333333333,100,94.24374999999999,A
73.5,85,95,90,99,88,97,90,100,12,50,77.77777777777777,45,70,75.2,64.8,94,72,93,65.92592592592592,100,84.58888888888889,B
92.5,100,100,100,100,100,92,0,95,12,91.66666666666667,94.44444444444444,75,100,78.4,80.1,98.00000000000001,88.99999999999999,97.4375,95.37037037037037,100,95.38680555555557,A+
92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.66666666666667,30,70,51.2,44.1,64,49,92.3125,74.72222222222223,100,73.95208333333333,C
52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.44444444444444,40,75,39.2,60.3,49.00000000000001,67,75.625,64.81481481481482,80,66.95972222222223,C-
77.5,92.5,77.5,90,93,90,90,55,65,11,66.66666666666667,44.44444444444444,30,50,64,49.05,80,54.5,84.4375,53.7037037037037,100,73.01180555555555,C
72.5,65,90,70,75,84,65,80,85,11,83.33333333333333,61.111111111111114,80,95,64,71.1,80,78.99999999999999,77.6875,86.1111111111111,100,81.97291666666666,B-
78.5,0,72.5,90,95,87,97,100,100,11,50,77.77777777777777,85,65,56,60.75,70,67.5,90,75.92592592592592,100,79.26388888888889,C+
80,100,95,70,87.5,90,96,100,85,12,91.66666666666667,61.111111111111114,55,95,61.6,80.55,77,89.5,91.6875,82.5925925925926,100,87.67013888888889,B+
62.5,0,77.5,90,100,98,100,90,100,12,100,94.44444444444444,35,90,76,74.25,95,82.5,89.75,94.81481481481482,100,90.77222222222221,A
94,100,100,90,100,99,100,95,95,12,91.66666666666667,77.77777777777777,80,90,56.8,65.25,71,72.5,97.875,87.22222222222223,100,84.77083333333333,B
66,85,90,90,100,0,65,95,100,12,83.33333333333333,22.22222222222222,75,65,42.4,36.9,53,41,86.375,74.44444444444444,100,67.92916666666666,C-
77.5,85,85,60,100,100,86,100,80,12,75,83.33333333333333,75,65,44,60.3,55,67,89.1875,77.77777777777777,100,76.17291666666665,C
87.5,77.5,100,95,95,100,0,75,75,12,95.83333333333333,88.88888888888889,75,100,67.2,72.9,84,81.00000000000001,88.125,94.9074074074074,100,87.72361111111111,B+
99.5,100,100,90,72.5,100,97,100,98,12,91.66666666666667,100,75,90,56,70.2,70,78,98.0625,93.8888888888889,100,87.00208333333333,B+
82.5,100,95,80,95,96,100,80,85,12,100,77.77777777777777,85,90,72,76.5,90,85,91.6875,91.66666666666667,100,90.50625,A
85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,81,75,92.625,86.66666666666667,100,85.7375,B
52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.333333333333336,0,0,0,43.2,20.7,54,23,41.71875,19.444444444444446,80,39.98229166666667,F
87.5,77.5,100,60,100,89,83,80,80,12,83.33333333333333,77.77777777777777,65,80,59.2,71.55,74,79.5,87.125,80.37037037037037,100,82.86805555555556,B
92.5,100,95,100,100,99,100,85,98,12,100,88.88888888888889,75,95,80,84.15,100,93.5,98.0625,94.62962962962963,100,96.98819444444445,A+
47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.111111111111114,45,100,47.2,62.1,59,69,88.875,78.70370370370371,100,77.51805555555555,C+
98,94,77.5,90,95,97,100,90,99,12,91.66666666666667,72.22222222222223,55,75,60.8,48.6,76,54,95.375,79.62962962962963,100,79.25694444444444,C+
80.5,85,100,90,95,96,86,60,100,12,66.66666666666667,77.77777777777777,75,95,76.8,66.15,96,73.50000000000001,91.5625,82.5925925925926,100,87.43263888888889,B+
60,0,90,0,0,91,0,47.5,66,11,75,72.22222222222223,30,100,62.4,53.55,78,59.5,44.3125,82.4074074074074,100,66.12986111111111,C-
0,50,42.5,80,100,83,71,75,50,12,66.66666666666667,61.111111111111114,55,35,14.4,39.6,18,44,68.9375,60.925925925925924,100,54.420138888888886,D
92.5,85,100,70,90,96,100,100,100,11,75,66.66666666666667,45,95,67.2,64.8,84,72,95.4375,78.8888888888889,100,85.26458333333333,B
92.5,100,100,100,100,0,90,100,100,11,91.66666666666667,61.111111111111114,65,80,78.4,75.6,98.00000000000001,83.99999999999999,97.8125,78.8888888888889,100,91.77708333333334,A
87.5,100,97.5,100,90,80,100,80,94,12,75,72.22222222222223,60,75,54.4,53.1,68,59,93.625,74.07407407407408,100,77.54861111111111,C+
65,100,90,90,100,99,86,72.5,75,12,100,88.88888888888889,80,95,71.2,72.9,89,81.00000000000001,89.0625,94.62962962962963,100,88.96319444444444,A-
92.5,100,100,100,95,100,86,100,80,12,95.83333333333333,72.22222222222223,60,100,62.4,74.25,78,82.5,96.6875,89.35185185185185,100,88.63402777777777,A-
82.5,100,95,100,0,100,92,100,100,12,58.333333333333336,100,65,80,68.8,63.9,86,71,96.1875,81.66666666666667,100,86.05625,B+
0,75,67.5,90,80,71,0,50,0,8,83.33333333333333,61.111111111111114,25,35,64,44.55,80,49.5,54.1875,59.81481481481482,40,57.60347222222222,D
82.5,87.5,85,35,60,95,87,100,85,11,58.333333333333336,94.44444444444444,95,100,71.2,81,89,90,85.25,96.48148148148148,100,90.34722222222223,A
82.5,100,85,90,95,85,90,100,82.5,12,100,55.55555555555556,65,75,46.4,71.1,58,78.99999999999999,90.9375,80,100,80.63125,B-
72.5,100,100,100,100,80,76,85,98,12,91.66666666666667,72.22222222222223,70,100,74.4,80.1,93.00000000000001,88.99999999999999,92.375,87.96296296296298,100,91.75694444444446,A
72.5,70,100,90,100,95,97,100,85,12,100,88.88888888888889,75,80,72,75.15,90,83.50000000000001,92.4375,89.62962962962963,100,90.05069444444445,A
0,0,0,10,0,0,53.5,70,32,9,33.333333333333336,0,55,45,32.8,56.7,40.99999999999999,63,20.6875,44.44444444444445,60,42.82291666666667,F
88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,72,56.5,55.3125,75,100,66.36875,C-
95,95,100,100,95,99,100,100,100,12,91.66666666666667,88.88888888888889,65,100,65.6,81,81.99999999999999,90,98.625,93.51851851851852,100,92.51527777777778,A
72.5,92.5,100,90,95,89,83,95,100,12,91.66666666666667,22.22222222222222,60,75,60.8,57.15,76,63.5,93.0625,75.55555555555556,100,80.32708333333333,B-
100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,100,99,97,100,100,98.85,A+
92.5,75,100,100,96.25,96,100,90,100,12,75,88.88888888888889,70,90,61.6,74.7,77,83,96.84375,84.62962962962963,100,87.89756944444444,B+
